name,num_workers,outer,inner,N,nnz,csrmkl_sd,csrmkl_mflops,csrmkl_sum,csriemkl_sd,csriemkl_mflops,csriemkl_sum
parabolic_fem,5,30,25,525825,3674625,418.830044,6811.24,6739,39.127013,7559.77,20759
utm1700b,5,30,5000,1700,21509,408.202015,11217.8,36359,889.406601,12776.1,36359
utm300,5,30,25000,300,3155,116.796209,3242.22,54419,171.748250,3358.46,54419
utm3060,5,30,5000,3060,42211,1036.737765,13598.2,54678,1222.834850,14539.4,54678
utm5940,5,30,2500,5940,83842,1151.860693,14983.1,32085,658.819917,16205.5,32085
Baumann,5,30,500,112211,748331,1820.350519,9966.6,14474,1318.309823,21033.1,49523
chem_master1,5,30,500,40401,201201,834.247294,10734.3,45557,790.386735,21878.9,63578
G3_circuit,5,30,25,1585478,7660826,513.543379,4351.13,20531,76.286537,5162.61,21977
G2_circuit,5,30,500,150102,726674,2152.777655,8222.72,35838,41.480116,13502.4,27730
invextr1_new,5,30,25,30412,1793881,354.356005,10854.9,5580,185.662136,12242.8,5580
mixtank_new,5,30,25,29957,1990919,532.001466,9985.51,19472,41.085835,8323.94,19472
Dubcova1,5,30,500,16129,253009,414.087563,12122.4,39946,592.972958,16906.5,22569
Dubcova2,5,30,25,65025,1030225,754.184274,10156.6,40040,238.866338,16243.9,33311
Dubcova3,5,30,25,146689,3636643,39.444105,6976.55,21500,124.598317,7484.03,63444
TSOPF_FS_b9_c6,5,30,500,14454,147972,346.240711,8624.19,55817,897.753751,6750.31,44360
TSOPF_FS_b162_c1,5,30,500,10798,608540,101.041367,9069.51,27304,802.008880,20783.7,13207
TSOPF_FS_b9_c1,5,30,5000,2454,25032,449.281566,8010.84,46048,226.425958,7603.42,49272
TSOPF_RS_b39_c30,5,30,25,60098,1079986,688.906914,10502.5,46879,185.645206,18323,32061
TSOPF_FS_b39_c7,5,30,500,28216,730080,820.260675,7647.03,54875,213.846080,13126.1,26925
TSOPF_FS_b300_c1,5,30,25,29214,4400122,60.800407,5885.96,37911,325.336559,14597.7,22976
TSOPF_RS_b300_c1,5,30,25,14538,1474325,504.482243,8588.96,21934,337.520834,26003.6,23327
TSOPF_RS_b162_c3,5,30,500,15374,610299,59.217487,11875,16862,1528.489416,21876.8,41084
TSOPF_FS_b39_c30,5,30,25,120216,3121160,152.488864,5435.06,43542,370.802731,7953.07,62628
TSOPF_RS_b300_c2,5,30,25,28338,2943887,182.178011,7184.89,40525,142.667754,17402.6,41198
TSOPF_RS_b2383,5,30,25,38120,16171169,89.355689,7044.21,40522,365.991038,15794.6,6136
TSOPF_RS_b39_c7,5,30,500,14098,252446,488.295562,11565.4,64837,49.629258,18424.1,57580
TSOPF_RS_b678_c2,5,30,25,35696,8781949,73.403703,7485.39,34753,788.704345,15023.6,5734
TSOPF_RS_b2383_c1,5,30,25,38120,16171169,27.980977,7167.86,53635,304.691082,15546.1,59945
TSOPF_FS_b39_c19,5,30,25,76216,1977600,93.967184,5786.37,40858,1125.152502,7622.66,2992
TSOPF_RS_b162_c4,5,30,500,20374,812749,328.953939,11924.5,44231,1154.383387,22310.2,37508
TSOPF_RS_b300_c3,5,30,25,42138,4413449,382.708196,6744.22,56197,218.062332,14179.4,49977
TSOPF_RS_b678_c1,5,30,25,18696,4396289,366.676081,6731.37,39133,211.908508,15159,12330
TSOPF_FS_b300_c2,5,30,25,56814,8767466,247.652458,5669.54,37198,245.513120,13763.3,40416
TSOPF_FS_b300,5,30,25,29214,4400122,29.961174,5924.85,64492,453.165762,13952.9,63881
TSOPF_FS_b162_c3,5,30,25,30798,1801300,93.678951,6278.87,17256,151.236200,16791.7,15067
TSOPF_RS_b39_c19,5,30,500,38098,684206,153.256817,11604.6,24558,2528.512643,14448.8,34806
TSOPF_RS_b162_c1,5,30,500,5374,205399,395.399866,11278.7,54061,836.976452,20961.2,61125
TSOPF_RS_b2052_c1,5,30,25,25626,6761100,381.875639,6483.15,35785,164.710132,15514.5,10281
TSOPF_RS_b9_c6,5,30,2500,7224,54082,424.496568,9872.57,28402,1044.630962,14406,28402
TSOPF_FS_b162_c4,5,30,25,40798,2398220,479.663072,5529.71,29074,346.911048,13620.8,41100
TSOPF_FS_b300_c3,5,30,25,84414,13135930,221.565475,5664.53,9289,128.275857,14185.7,39917
twotone,5,30,25,120750,1206265,736.447240,11748.8,32566,205.695649,12134.9,32566
onetone2,5,30,500,36057,222596,426.519627,7286.47,47682,471.981949,7224.55,47682
onetone1,5,30,500,36057,335552,326.276762,9244.06,56533,278.886179,9263.37,56533
pre2,5,30,25,659033,5834044,231.548082,7247.84,17145,119.237405,7298.22,17145
m3plates,5,30,25000,11107,6639,108.373457,2821.58,8345,327.050156,5431.57,8345
k3plates,5,30,500,11107,378927,1284.294749,19016.6,50083,561.611719,18517,28164
qa8fk,5,30,25,66127,1660579,1013.985382,9565.86,1904,237.691240,21981.7,16971
qa8fm,5,30,25,66127,1660579,984.846812,11703.5,16037,3153.794683,19974.3,33957
viscoplastic1,5,30,2500,4326,61166,239.840213,9820.08,15136,714.669199,16333.5,8693
viscoplastic2,5,30,500,32769,381326,280.125908,7412.35,25763,895.746555,15019.5,24576
c-65,5,30,500,48066,360428,811.796859,6457.84,50920,1324.802504,9335.06,50920
c-37,5,30,2500,8204,74676,213.089849,8463.06,31263,433.849315,10179.5,42294
c-38,5,30,2500,8127,77689,266.675892,9178.04,26999,428.141268,9632.96,26442
c-53,5,30,500,30235,355139,392.456019,8702.37,10885,324.667224,11697.9,59512
c-44,5,30,2500,10728,85000,879.139291,7260.04,37628,385.415751,11119.7,37628
c-50,5,30,500,22401,180245,285.368811,7857.1,15635,440.275890,9347.99,41370
c-25,5,30,5000,3797,49635,488.270507,9569.25,31743,419.427675,11135.2,38042
c-46,5,30,500,14913,130397,236.202788,8678.78,61026,418.656620,9795.25,62339
c-45,5,30,500,13206,174452,306.267730,9212.05,54740,165.544966,10692.2,39453
c-18,5,30,5000,2169,15145,236.711465,7169.09,33755,380.475278,8341.46,33755
c-35,5,30,2500,6537,62891,1109.982981,7460.8,34965,1026.906259,11090.7,16604
c-33,5,30,2500,6317,56123,219.440975,8740.5,36130,206.713579,11355.9,2572
c-48,5,30,500,18354,166080,846.526674,7922.08,35549,436.058421,9624.41,51795
c-56,5,30,500,35910,380240,185.567689,8375.65,10012,369.086334,10653.9,59054
