name,workers,outer,inner,N,nnz,csrnnz_sd,csrnnz_mflops,csrnnz_sum,csrnnzgs_sd,csrnnzgs_mflops,csrnnzgs_sum,csrnnzsorted_sd,csrnnzsorted_mflops,csrnnzsorted_sum,csrnnzgssorted_sd,csrnnzgssorted_mflops,csrnnzgssorted_sum,csrnnzshort_sd,csrnnzshort_mflops,csrnnzshort_sum,csrnnzgsshort_sd,csrnnzgsshort_mflops,csrnnzgsshort_sum,csrnnzunroll2_sd,csrnnzunroll2_mflops,csrnnzunroll2_sum,csrnnzunroll3_sd,csrnnzunroll3_mflops,csrnnzunroll3_sum,csrnnzunroll4_sd,csrnnzunroll4_mflops,csrnnzunroll4_sum
parabolic_fem,5,30,25,525825,3674625,269.629259704,5723.71495327,17124,55.519644541,4544.05399835,17124,380.300013146,5618.69266055,17124,251.323489827,4326.48155416,17124,353.078101067,5534.07379518,17124,207.565122544,4452.29200323,17124,398.01943625,5590.20030426,17124,254.168495938,5939.58782328,17124,108.620026267,5971.76327194,17124
utm1700b,5,30,5000,1700,21509,257.901683326,7995.91078067,22422,149.753152734,6577.67584098,42058,362.531760083,7654.44839858,22422,66.5461314621,5203.79032258,42058,484.77941734,7869.14634146,22422,0,6145.42857143,42058,144.459606231,8167.97468354,22422,1378.1749371,7591.41176471,22422,442.344681348,8524.04227213,22422
utm300,5,30,25000,300,3155,1121.75583751,4590.20368574,47169,594.19111832,4165.93309859,25596,832.502855297,3404.67625899,47169,462.203029355,3119.64403428,25596,714.079138153,2978.28823159,47169,632.182487224,3547.6011994,25596,886.684421661,3956.93979933,47169,775.597551971,4498.57414449,47169,1143.53277408,4452.02257761,47169
utm3060,5,30,5000,3060,42211,1221.36376853,7341.04347826,28452,157.468323645,7086.345831,54044,161.346319779,8060.66199873,28452,29.9203657723,5635.64753004,54044,288.920940257,8217.58598313,28452,163.671643371,6177.2195122,54044,234.598915249,8358.61386139,28452,318.363617103,8974.69879518,28452,85.7465339983,8924.10147992,28452
utm5940,5,30,2500,5940,83842,919.857755711,7919.58438287,2936,147.982577663,7311.80232558,54496,74.0015910317,8246.75409836,2936,65.8378475285,5923.83419689,54496,784.242730795,8056.56630365,2936,53.6494675933,6459.3220339,54496,154.022202636,8578.64938608,2936,256.293611803,9146.4,2936,172.351407141,9119.86947063,2936
Baumann,5,30,500,112211,748331,244.492114005,7860.6197479,63537,74.1224875853,5416.14716526,63537,77.967678286,7468.37325349,63537,12.1508948113,4928.63446762,63537,819.090426529,6911.92426108,63537,87.2090262176,4893.18439407,63537,549.280825902,6890.70902394,63537,104.534331911,7520.91457286,63537,722.021116255,7149.65923567,63537
chem_master1,5,30,500,40401,201201,377.784100541,7621.25,1968,202.613492743,4418.76281113,1968,629.680149699,7307.54237288,1968,75.6008436824,4517.98652695,1968,159.53398551,7592.49056604,1968,791.744867452,3813.03221731,1968,343.118282188,6945.94936709,1968,148.192552044,7316.4,1968,44.4795877269,7177.20570749,1968
G3_circuit,5,30,25,1585478,7660826,20.2259834854,4292.58087411,46602,275.479015395,2967.01239349,46602,82.7643782625,3835.52703605,46602,146.129712459,2859.94001991,46602,20.8617870344,3856.1204698,46602,155.971785016,2921.74904653,46602,22.0197399044,3874.32198247,46602,156.821962994,3758.99214917,46602,108.681383037,3738.20396877,46602
G2_circuit,5,30,500,150102,726674,35.2475583986,7237.78884462,54308,63.0179010151,4184.30326296,54308,264.055384362,6980.53794428,54308,80.477833393,3801.92186955,54308,625.748790069,6962.70201214,54308,68.7082217353,4275.39125319,54308,380.447474013,6434.53955136,54308,91.787751551,6861.88857413,54308,560.035322302,6493.95889187,54308
invextr1_new,5,30,25,30412,1793881,281.885459294,7118.57539683,32525,908.732260563,7558.48735955,28958,410.682849673,7007.34765625,32525,337.03275234,7844.9606414,28958,354.882846437,7025.64360313,32525,333.182575447,7732.24568966,28958,404.893591712,7799.4826087,32525,478.05814504,8228.81192661,32525,1337.65479567,6777.88790932,32525
mixtank_new,5,30,25,29957,1990919,654.793121281,6741.26072235,54323,430.841979243,7756.82727273,16105,471.551893406,6726.0777027,54323,866.90563741,7373.77407407,16105,389.401030635,6865.23793103,54323,183.341417753,7618.3125,16105,742.471496116,7355.61206897,54323,622.592974982,7838.26377953,54323,852.453013147,7301.65892421,54323
Dubcova1,5,30,500,16129,253009,353.656610124,8066.17428268,52208,130.602369875,6465.30664395,27518,472.892602471,7873.72406639,52208,304.558675795,6357.01005025,27518,336.680962675,8074.75531915,52208,653.03241585,6033.6009539,27518,108.83062014,8377.78145695,52208,93.4815586007,9003.87900356,52208,223.686405473,8825.89534884,52208
Dubcova2,5,30,25,65025,1030225,609.481783926,7844.35279188,1229,759.586216002,5898.23473282,29674,946.795810419,7358.75,1229,316.829179971,6231.19959677,29674,779.142002622,7575.18382353,1229,286.513889009,6281.8597561,29674,657.437771678,7804.73484848,1229,517.393876949,8353.17567568,1229,661.889464839,8219.88031915,1229
Dubcova3,5,30,25,146689,3636643,192.682060558,6395.03458382,10659,329.450185924,6455.57928994,47494,117.848458165,6636.20985401,10659,43.1753828012,6726.22009864,47494,1060.30097963,5275.594294,10659,533.561667099,6463.22808057,47494,276.693462606,7066.01619171,10659,141.544578407,7597.44359331,10659,189.774256515,7177.58486842,10659
TSOPF_FS_b9_c6,5,30,500,14454,147972,749.957068945,7562.45315162,39327,81.972767267,4993.43082115,1507,191.907837573,7423.34448161,39327,228.089977738,3897.41878841,1507,1276.39993382,6323.58974359,39327,145.337065609,4010.08130081,1507,129.343991142,6509.03225806,39327,252.727693263,6615.73770492,39327,177.24938568,6576.53333333,39327
TSOPF_FS_b162_c1,5,30,500,10798,608540,885.127169878,7581.47840532,59794,283.386810085,7986.08923885,39074,196.515749073,7986.08923885,59794,143.243470354,8164.66905188,39074,343.079118448,8014.13520632,59794,356.347226583,7842.01030928,39074,138.005343742,9160.16056197,59794,995.462262083,9146.39278557,59794,603.006005899,9726.265317,59794
TSOPF_FS_b9_c1,5,30,5000,2454,25032,389.542316805,7694.26229508,56144,175.389403353,4953.56200528,51626,110.566935563,7487.13858425,56144,356.153123253,3890.98445596,51626,330.184999588,7435.24752475,56144,29.2698446538,4085.74537541,51626,61.5615630083,6575.83187391,56144,46.8785304617,6777.61732852,56144,88.231398109,6687.08815672,56144
TSOPF_RS_b39_c30,5,30,25,60098,1079986,547.500391836,7330.22171946,32197,240.758909495,5192.24038462,63393,983.546123336,6922.98717949,32197,340.45348812,5159.16878981,63393,653.750541506,7297.2027027,32197,383.677763362,5159.16878981,63393,1110.36641642,6639.25819672,32197,486.343026878,7397.16438356,32197,938.787056617,7012.8961039,32197
TSOPF_FS_b39_c7,5,30,500,28216,730080,80.2103645059,7701.26582278,61434,41.6081705137,6183.62507058,50685,252.135243588,7513.68782161,61434,27.2768714456,6150.63184499,50685,706.451896509,7257.25646123,61434,232.782707717,6068.82793017,50685,251.455964862,8040.52863436,61434,209.600541853,8674.21782178,61434,60.9551103397,8472.88201161,61434
TSOPF_FS_b300_c1,5,30,25,29214,4400122,593.076362947,7244.98682766,30816,263.328840798,8239.92883895,56405,650.952804967,7237.04276316,30816,531.137449773,7980.87424426,56405,1193.5401845,6502.64334975,30816,381.997815696,7980.87424426,56405,189.292138044,7174.11195652,30816,124.605986617,7317.27605322,30816,273.380230937,7158.54989154,30816
TSOPF_RS_b300_c1,5,30,25,14538,1474325,1408.02806285,6562.27744807,35590,582.785221828,8505.72115385,59995,1056.71610705,7065.45527157,35590,511.665486231,8706.64370079,59995,628.694158814,7625.81896552,35590,1194.32608201,7814.4434629,59995,549.318688684,8775.74404762,35590,717.608781646,9291.96428571,35590,1136.07885978,8845.95,35590
TSOPF_RS_b162_c3,5,30,500,15374,610299,583.745243742,8051.43799472,32880,352.771013268,7460.86797066,21529,378.845298456,8058.52552817,32880,63.1408572229,7559.44260941,21529,1164.07579808,7151.94140625,32880,274.210777705,7400.55375909,21529,182.39508103,8777.07094919,32880,640.870977655,9186.63823382,32880,367.132439269,9168.23735603,32880
TSOPF_FS_b39_c30,5,30,25,120216,3121160,239.510724995,6475.43568465,8398,62.0334101626,5566.87277051,55757,231.615316997,6640.76595745,8398,234.403175817,4724.25832492,55757,261.834015002,6621.98019802,8398,141.678112045,4836.50826446,55757,548.026205068,6413.34246575,8398,306.268336772,6566.25525947,8398,401.478781401,6612.62711864,8398
TSOPF_RS_b300_c2,5,30,25,28338,2943887,698.56833977,6762.37442573,1188,163.869686681,7446.59443508,23888,258.945932963,6998.14659271,1188,177.555716806,7471.79441624,23888,249.351179285,7054.04233227,1188,177.557727584,7626.65025907,23888,105.150531494,7323.10199005,1188,739.874509816,6700.80500759,1188,799.192144859,6551.6772997,1188
TSOPF_RS_b2383,5,30,25,38120,16171169,463.513566657,7030.94304348,54265,612.205945808,8096.3796729,22571,277.458363369,7204.26299376,54265,986.42706521,7976.57135811,22571,266.570002959,7388.59381663,54265,724.646831742,8175.51516684,22571,504.48925367,7883.2478063,54265,281.653778481,8798.24211099,54265,1051.09415428,8085.5845,54265
