name,threads,outer,inner,N,nnz,ell_sd,ell_mflops,ell_sum,ellgs_sd,ellgs_mflops,ellgs_sum,bellgs_sd,bellgs_mflops,bellgs_sum
parabolic_fem,5,30,25,525825,3674625,442.859005266,5409.16339549,17124,135.3253852,6681.13636364,17124,481.347678814,6830.15799257,17124
utm1700b,5,30,5000,1700,21509,166.241954205,2393.4347181,22422,89.7403749132,3324.42040185,22422,124.858269256,3535.7260274,22422
utm300,5,30,25000,300,3155,96.4677079633,936.201780415,47169,170.208337423,1342.17243335,47169,185.829789404,1349.05929304,47169
utm3060,5,30,5000,3060,42211,69.6768641716,3083.34550767,28452,98.4706186664,4368.16143498,28452,604.348070322,4310.17699115,28452
utm5940,5,30,2500,5940,83842,66.711335588,3218.91476836,2936,256.574645508,4336.65517241,2936,344.398292823,5097.81110661,2936
Baumann,5,30,500,112211,748331,177.832955153,6739.69678775,63537,991.534191601,8032.17531306,63537,477.45914702,9790.63672045,63537
chem_master1,5,30,500,40401,201201,332.5135441,7228.77844311,1968,651.343906098,9387.29393468,1968,518.035653989,11014.6532847,1968
G3_circuit,5,30,25,1585478,7660826,39.8013262931,2843.66221232,46602,55.1106188134,2903.29434058,46602,23.876252816,3935.35582192,46602
G2_circuit,5,30,500,150102,726674,701.994247778,5193.00142925,54308,181.76925433,7606.49685973,54308,336.222050135,8417.07335907,54308
invextr1_new,5,30,25,30412,1793881,78.6486691972,1689.15348399,32525,107.000855449,2128.81447785,32525,107.364569623,1980.00110375,32525
mixtank_new,5,30,25,29957,1990919,252.846009556,2127.05021368,54323,145.629779188,3270.95125958,54323,74.5958819423,3344.20884658,54323
Dubcova1,5,30,500,16129,253009,70.3496013671,4475.39504717,52208,98.1320425611,5953.15294118,52208,90.8952125211,6600.23478261,52208
Dubcova2,5,30,25,65025,1030225,529.375707945,2814.82240437,1229,231.534799826,5017.32954545,1229,379.127164316,5347.18858131,1229
Dubcova3,5,30,25,146689,3636643,29.6308224631,2646.75618632,10659,100.12490205,3186.31103972,10659,287.136297632,3415.75735755,10659
TSOPF_FS_b9_c6,5,30,500,14454,147972,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b162_c1,5,30,500,10798,608540,-1,-1,-1,-1,-1,-1,-1,-1,-1
