name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
parabolic_fem,5,30,625,525825,2100225,7,4.56328482844,4274.6754405,52675
utm1700b,5,30,1000,1700,11548,315,0.536831406519,143.372794282,29996
utm300,5,30,50000,300,1644,67,0.1563369932,96.7825523645,44099
utm3060,5,30,1000,3060,22672,517,0.404330875841,175.7439734,53445
utm5940,5,30,1000,5940,45175,957,0.294485293978,193.778696051,45693
Baumann,5,30,2500,112211,434221,201,2.92596377756,3204.91184947,None
chem_master1,5,30,500,40401,120801,401,4.34310210986,936.108870968,None
G3_circuit,5,30,25,1585478,4623152,2594,7.60927363755,2078.73353835,None
G2_circuit,5,30,2500,150102,438388,733,0.578412155861,1522.5743819,None
invextr1_new,5,30,500,30412,905101,300,6.20457500203,3737.48425031,None
mixtank_new,5,30,25,29957,1012499,579,40.6620761131,2922.42333984,4391
Dubcova1,5,30,500,16129,134569,706,0.588114113274,642.263496361,25274
Dubcova2,5,30,500,65025,547625,1634,1.04060661186,1035.40201005,5419
Dubcova3,5,30,25,146689,1891666,3266,8.40352135573,1424.2727154,55926
TSOPF_FS_b9_c6,5,30,12500,14454,86625,11,36.2598504526,4849.62130467,53756
TSOPF_FS_b162_c1,5,30,2500,10798,313606,61,35.9658026807,4776.42835004,55647
TSOPF_FS_b9_c1,5,30,25000,2454,14655,11,22.9413151701,2581.97666966,52523
TSOPF_RS_b39_c30,5,30,125,60098,1020040,106,14.3909621109,3753.75758342,32137
TSOPF_FS_b39_c7,5,30,2500,28216,389697,34,9.12859619716,5262.31552401,64654
TSOPF_FS_b300_c1,5,30,125,29214,2225387,154,16.2583176232,5158.94523958,None
TSOPF_RS_b300_c1,5,30,25,14538,1458648,112,105.897272778,3915.59082734,38044
TSOPF_RS_b162_c3,5,30,500,15374,594088,114,11.0057445036,3814.4037294,8858
TSOPF_FS_b39_c30,5,30,125,120216,1665737,34,30.6075081618,5040.69380494,62844
TSOPF_RS_b300_c2,5,30,125,28338,2914479,112,9.79774580512,3784.98781973,29097
TSOPF_RS_b2383,5,30,25,38120,16124919,64,76.6600647211,4355.28907518,10399
TSOPF_RS_b39_c7,5,30,500,14098,238270,106,18.6067724587,3201.02907245,29636
TSOPF_RS_b678_c2,5,30,25,35696,8744077,62,13.9173107181,4077.6771028,62336
TSOPF_RS_b2383_c1,5,30,25,38120,16124919,64,11.8023554025,4365.52014817,10889
TSOPF_FS_b39_c19,5,30,125,76216,1055457,34,39.9908946678,5426.82610242,16933
TSOPF_RS_b162_c4,5,30,2500,20374,791563,114,2.02766281723,3839.05666557,22676
TSOPF_RS_b300_c3,5,30,25,42138,4370310,112,21.1693355594,3817.35605617,37424
TSOPF_RS_b678_c1,5,30,25,18696,4375247,62,4.54747350886e-13,3968.99909091,64282
TSOPF_FS_b300_c2,5,30,25,56814,4433209,154,53.9308788375,5210.72791798,None
TSOPF_FS_b300,5,30,125,29214,2225387,154,26.7876615583,5142.94354839,32204
TSOPF_FS_b162_c3,5,30,2500,30798,927486,61,3.85330340273,5476.68428005,23868
TSOPF_RS_b39_c19,5,30,2500,38098,646150,106,1.93670161834,3705.97864628,34546
TSOPF_RS_b162_c1,5,30,500,5374,199138,114,20.7482994904,2870.69167073,23505
TSOPF_RS_b2052_c1,5,30,25,25626,6733882,61,25.2418029058,4121.66946034,11611
TSOPF_RS_b9_c6,5,30,5000,7224,46858,206,0.777587645031,765.777358045,60591
TSOPF_FS_b162_c4,5,30,125,40798,1234696,61,46.5933623436,5382.52216312,59365
TSOPF_FS_b300_c3,5,30,25,84414,6641591,154,228.764466778,5221.03164557,None
twotone,5,30,500,120750,734744,1695,1.14825466187,1279.88043272,None
onetone2,5,30,500,36057,160893,562,1.2404004818,840.709101608,None
onetone1,5,30,500,36057,217385,862,1.70265942344,832.038814691,None
pre2,5,30,125,659033,3718410,610,9.75009859963,3886.94009023,None
m3plates,5,30,25000,11107,11107,1,37.2233799721,1821.21775251,53390
k3plates,5,30,100,11107,195017,1182,0,574.131818182,None
qa8fk,5,30,2500,66127,863353,382,1.69969186355,3553.61157874,8427
qa8fm,5,30,2500,66127,863353,382,6.52124088855,3573.18677378,43747
viscoplastic1,5,30,25000,4326,39566,2,131.858167804,4092.23194748,9453
viscoplastic2,5,30,2500,32769,208544,2,9.85283778443,4872.19827586,57738
c-65,5,30,2500,48066,204247,2,6.37745256426,4003.5693128,6141
c-37,5,30,25000,8204,41440,2,2.89902780315,2840.97595617,22601
c-38,5,30,25000,8127,42908,2,6.08231320967,3889.8958542,36594
c-53,5,30,2500,30235,192687,2,18.6873309953,4828.75725163,62161
c-44,5,30,25000,10728,47864,2,4.61579292995,3559.4639866,3613
c-50,5,30,2500,22401,101323,2,13.9544610783,3763.46742762,30312
c-25,5,30,25000,3797,26716,2,4.70073177182,2913.99217221,7001
c-46,5,30,12500,14913,72655,2,6.7223174373,4805.31397406,60503
c-45,5,30,12500,13206,93829,2,52.1535838991,5420.45737012,16476
c-18,5,30,125000,2169,8657,2,33.6650376355,2865.18767027,43663
c-35,5,30,25000,6537,34714,2,3.39602423248,3274.66328798,28655
c-33,5,30,25000,6317,31220,2,4.29039811662,3239.85914409,18908
c-48,5,30,12500,18354,92217,2,2.91124017247,3437.46550392,53372
c-56,5,30,2500,35910,208075,2,4.01537806926,3572.3412251,16234
c-42,5,30,12500,10471,60378,2,6.78091466454,3899.01715848,60759
c-21,5,30,25000,3509,17827,2,42.0456160935,4372.2796518,20769
c-27,5,30,25000,4563,17745,2,38.9768398255,3499.05717303,51987
c-26,5,30,25000,4307,19422,2,23.5685563438,3756.7440174,20890
c-20,5,30,25000,2921,11683,2,168.727247473,3326.19305857,18051
c-24,5,30,25000,4119,19909,2,48.8929277625,4444.59661355,16925
c-31,5,30,25000,5339,41955,2,6.66160381633,4222.73378717,6980
c-67,5,30,2500,57975,294102,2,4.94213551347,3623.10267857,45209
c-40,5,30,25000,9941,45721,2,5.24170224423,3888.65385839,26202
c-36,5,30,25000,7479,36710,2,44.3231008638,4319.27947598,36297
