name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
parabolic_fem,5,30,625,525825,2100225,7,10.7787631177,4270.17159901,52675
utm1700b,5,30,1000,1700,11548,315,1.33457023169,226.253084244,29996
utm300,5,30,50000,300,1644,67,0.679621673249,128.057142857,44099
utm3060,5,30,1000,3060,22672,517,0.756763324287,282.269692924,53445
utm5940,5,30,1000,5940,45175,957,0.787095035412,327.763396324,45693
Baumann,5,30,2500,112211,434221,201,6.08973257748,3757.35839682,None
chem_master1,5,30,500,40401,120801,401,8.09025043525,1280.44760289,None
G3_circuit,5,30,25,1585478,4623152,2594,11.902029327,2313.98288361,None
G2_circuit,5,30,2500,150102,438388,733,4.03943304221,1937.52177468,None
invextr1_new,5,30,500,30412,905101,300,7.86538168313,3813.29095843,None
mixtank_new,5,30,25,29957,1012499,579,32.917579326,3110.77079002,4391
Dubcova1,5,30,500,16129,134569,706,3.32038113573,934.532134942,25274
Dubcova2,5,30,500,65025,547625,1634,3.19643503114,1488.33429645,5419
Dubcova3,5,30,25,146689,1891666,3266,35.6566768918,1907.33024476,55926
TSOPF_FS_b9_c6,5,30,12500,14454,86625,11,7.61113149433,4717.83394074,53756
TSOPF_FS_b162_c1,5,30,2500,10798,313606,61,8.92190943083,4964.1415226,55647
TSOPF_FS_b9_c1,5,30,25000,2454,14655,11,8.3172687284,2638.11394892,52523
TSOPF_RS_b39_c30,5,30,125,60098,1020040,106,20.8925971886,3803.75640369,32137
TSOPF_FS_b39_c7,5,30,2500,28216,389697,34,5.99828988564,5260.8413484,64654
TSOPF_FS_b300_c1,5,30,125,29214,2225387,154,27.8114359363,5240.47092288,None
TSOPF_RS_b300_c1,5,30,25,14538,1458648,112,105.185647624,3936.83273056,38044
TSOPF_RS_b162_c3,5,30,500,15374,594088,114,12.0988305512,3770.25932276,8858
TSOPF_FS_b39_c30,5,30,125,120216,1665737,34,130.125565173,5051.26572987,62844
TSOPF_RS_b300_c2,5,30,125,28338,2914479,112,9.67376408739,3815.52797755,29097
TSOPF_RS_b2383,5,30,25,38120,16124919,64,10.0059233897,4371.04912249,10399
TSOPF_RS_b39_c7,5,30,500,14098,238270,106,18.0926907749,3220.34818942,29636
TSOPF_RS_b678_c2,5,30,25,35696,8744077,62,19.6407045827,4087.86492817,62336
TSOPF_RS_b2383_c1,5,30,25,38120,16124919,64,11.1521732828,4368.6778481,10889
TSOPF_FS_b39_c19,5,30,125,76216,1055457,34,28.1222285729,5403.76593484,16933
TSOPF_RS_b162_c4,5,30,2500,20374,791563,114,1.84326693455,3903.36696973,22676
TSOPF_RS_b300_c3,5,30,25,42138,4370310,112,33.9891464995,3846.61645047,37424
TSOPF_RS_b678_c1,5,30,25,18696,4375247,62,36.6697721278,4007.86321909,64282
TSOPF_FS_b300_c2,5,30,25,56814,4433209,154,63.3824452061,5298.478749,None
TSOPF_FS_b300,5,30,125,29214,2225387,154,24.5310819062,5225.60668137,32204
TSOPF_FS_b162_c3,5,30,2500,30798,927486,61,3.54402897687,5545.95038307,23868
TSOPF_RS_b39_c19,5,30,2500,38098,646150,106,2.63153673406,3764.86491895,34546
TSOPF_RS_b162_c1,5,30,500,5374,199138,114,16.0862779209,2973.52674067,23505
TSOPF_RS_b2052_c1,5,30,25,25626,6733882,61,20.1445180246,4143.69235512,11611
TSOPF_RS_b9_c6,5,30,5000,7224,46858,206,2.67784013145,1137.15487773,60591
TSOPF_FS_b162_c4,5,30,125,40798,1234696,61,52.6235240529,5486.28162651,59365
TSOPF_FS_b300_c3,5,30,25,84414,6641591,154,21.0725664019,5316.36734694,None
twotone,5,30,500,120750,734744,1695,2.56199333888,1723.99403494,None
onetone2,5,30,500,36057,160893,562,4.51545601179,1148.42845659,None
onetone1,5,30,500,36057,217385,862,3.12198198012,1147.92610365,None
pre2,5,30,125,659033,3718410,610,8.60259358994,4012.10753749,None
m3plates,5,30,25000,11107,11107,1,59.4362006475,1726.47668394,53390
k3plates,5,30,100,11107,195017,1182,7.46421870737,877.823166023,None
qa8fk,5,30,2500,66127,863353,382,2.00256213766,4154.07841633,8427
qa8fm,5,30,2500,66127,863353,382,1.97381500188,4148.1289968,43747
viscoplastic1,5,30,25000,4326,39566,2,107.871867731,3919.82812827,9453
viscoplastic2,5,30,2500,32769,208544,2,9.97425462065,4924.64120964,57738
c-65,5,30,2500,48066,204247,2,7.08807405184,3990.56687334,6141
c-37,5,30,25000,8204,41440,2,2.41109807461,2838.24051082,22601
c-38,5,30,25000,8127,42908,2,5.3175935288,3836.87277756,36594
c-53,5,30,2500,30235,192687,2,97.6614021088,4871.14575713,62161
c-44,5,30,25000,10728,47864,2,3.96350936147,3518.60028701,3613
c-50,5,30,2500,22401,101323,2,12.4136362279,3748.85607321,30312
c-25,5,30,25000,3797,26716,2,5.10419338081,2866.20341854,7001
c-46,5,30,12500,14913,72655,2,10.4390939329,4781.35083602,60503
c-45,5,30,12500,13206,93829,2,6.03684689153,5386.53766982,16476
c-18,5,30,125000,2169,8657,2,22.0764062074,2771.91419786,43663
c-35,5,30,25000,6537,34714,2,4.53866784681,3270.34944186,28655
c-33,5,30,25000,6317,31220,2,4.19763104499,3196.07061503,18908
c-48,5,30,12500,18354,92217,2,3.16236942151,3428.19397809,53372
c-56,5,30,2500,35910,208075,2,5.42229616835,3559.8551991,16234
c-42,5,30,12500,10471,60378,2,6.05395498598,3855.75936976,60759
c-21,5,30,25000,3509,17827,2,37.0749624392,4180.46644703,20769
c-27,5,30,25000,4563,17745,2,37.3484278688,3414.58118652,51987
c-26,5,30,25000,4307,19422,2,26.7513026519,3695.64131831,20890
c-20,5,30,25000,2921,11683,2,176.324954889,3148.61396304,18051
c-24,5,30,25000,4119,19909,2,14.5999367464,4260.7017823,16925
c-31,5,30,25000,5339,41955,2,5.98960638388,4211.56732419,6980
c-67,5,30,2500,57975,294102,2,4.92333619272,3616.51282284,45209
c-40,5,30,25000,9941,45721,2,5.41224091609,3846.8061674,26202
c-36,5,30,25000,7479,36710,2,8.13589907863,4267.47346622,36297
c-28,5,30,25000,4598,17594,2,23.2545862052,2877.16328066,24947
c-47,5,30,2500,15343,113372,2,23.0709059518,3676.11291444,43704
c-64b,5,30,2500,51035,379318,2,5.99752726936,4835.54214123,46386
c-39,5,30,12500,9271,62929,2,6.2293747369,4034.33837778,20490
c-54,5,30,2500,31793,208890,2,6.33596244572,4406.91505556,48836
c-51,5,30,2500,23196,113122,2,7.79020860415,3548.9629457,38461
c-22,5,30,25000,3792,16331,2,29.6104237367,3661.22759554,35888
c-34,5,30,25000,6611,35472,2,3.69182692083,3450.35397597,65063
c-23,5,30,25000,3969,17524,2,17.0279390615,3968.88302401,35352
